date,machine_id,temp_moyenne,temp_max,vibration_moyenne,pression_moyenne,nb_anomalies_capteurs,nb_mesures,nb_alarmes,duree_arret_minutes,taux_disponibilite_pct
2024-01-02,M001,65.41786713286712,129.67,2.4660979020979026,4.521390243902436,3,288,2,501.2833333333333,65.18865740740742
2024-01-10,M001,65.69402826855125,114.66,2.4514982578397215,4.49242807017544,4,288,0,57.1,96.03472222222223
2024-01-12,M001,65.83052083333332,125.63,2.5107412587412563,4.5044020979020996,4,288,1,172.28333333333333,88.03587962962963
2024-01-14,M001,64.66947552447552,128.78,2.4284718309859143,4.534856643356644,7,288,3,845.1333333333334,41.310185185185176
2024-01-18,M001,65.2691986062718,128.92,2.5214634146341455,4.514536585365855,2,288,2,293.51666666666665,79.61689814814815
2024-01-21,M001,64.60014084507043,121.11,2.5124615384615407,4.481477192982457,5,288,2,432.95,69.93402777777777
2024-01-22,M001,64.52435540069688,91.42,2.506432055749129,4.532612676056337,2,288,0,196.7,86.34027777777777
2024-01-26,M001,65.2641463414634,118.15,2.439243902439025,4.493197916666668,3,288,0,328.4333333333333,77.19212962962962
2024-01-01,M002,64.85393728222994,129.71,2.409421052631579,4.4444381625441665,9,288,2,300.91666666666663,79.10300925925927
2024-01-03,M002,63.91562499999999,119.13,2.44894699646643,4.508800699300698,6,288,2,880.3666666666666,38.86342592592593
2024-01-05,M002,63.65437062937058,121.56,2.4882951388888883,4.5705416666666645,7,288,0,39.9,97.22916666666666
2024-01-21,M002,64.45038327526134,120.56,2.399146853146853,4.464824561403509,7,288,0,17.383333333333333,98.79282407407408
2024-01-22,M002,64.57857638888888,126.42,2.5142787456446003,4.570930555555552,6,288,1,66.88333333333334,95.35532407407406
2024-01-24,M002,65.62750000000004,128.02,2.4881338028169,4.534475352112677,6,288,0,361.65000000000003,74.88541666666666
2024-01-25,M002,64.19888501742165,122.85,2.4145489510489493,4.4705017543859675,5,288,2,391.0833333333333,72.84143518518519
2024-01-31,M002,64.9919298245614,117.75,2.5075679442508707,4.5231514084507065,3,288,2,43.28333333333333,96.99421296296296
2024-01-02,M003,63.50547368421054,126.68,2.4631888111888105,4.496644599303141,3,288,2,255.26666666666665,82.27314814814815
2024-01-06,M003,66.7649477351917,120.18,2.4540383275261326,4.527608391608393,5,288,2,293.65000000000003,79.60763888888889
2024-01-08,M003,63.246805555555525,100.2,2.389150877192983,4.48020833333333,6,288,1,301.95,79.03125
2024-01-09,M003,64.45620209059234,122.84,2.4565454545454566,4.486379790940761,3,288,1,438.31666666666666,69.5613425925926
2024-01-10,M003,65.97607017543864,123.85,2.4507534722222224,4.543501754385963,5,288,0,0.0,100.0
2024-01-15,M003,64.16989510489506,111.26,2.53962807017544,4.441616724738672,4,288,2,489.66666666666663,65.99537037037038
2024-01-17,M003,66.10398601398602,120.44,2.5098645833333317,4.529291666666665,5,288,0,254.86666666666667,82.30092592592591
2024-01-18,M003,64.80348591549298,127.64,2.468613240418118,4.505877622377621,3,288,0,0.0,100.0
2024-01-19,M003,65.08276223776224,110.11,2.51981052631579,4.459632508833922,1,288,0,217.75,84.87847222222223
2024-01-21,M003,64.14013986013985,121.71,2.447204861111111,4.497404181184672,5,288,1,502.66666666666663,65.0925925925926
2024-01-23,M003,65.59971929824563,129.45,2.5646866197183096,4.498209790209791,6,288,0,52.53333333333333,96.35185185185186
2024-01-01,M004,65.66625874125867,126.67,2.4911875000000006,4.512091549295773,6,288,0,78.75,94.53125
2024-01-07,M004,64.64300699300702,125.81,2.454887719298245,4.482796491228073,5,288,2,400.91666666666663,72.15856481481482
2024-01-15,M004,67.03014184397159,127.38,2.5338162544169602,4.515815972222225,2,288,2,586.65,59.26041666666667
2024-01-20,M004,64.76829268292681,126.83,2.4107832167832175,4.4330456140350885,7,288,1,211.21666666666667,85.33217592592592
2024-01-25,M004,64.31585964912287,118.59,2.511809027777777,4.531142361111113,3,288,0,0.0,100.0
2024-01-27,M004,63.528298611111076,124.77,2.4468120567375866,4.483554385964911,3,288,0,823.2333333333333,42.83101851851852
2024-01-12,M005,65.32919860627179,127.85,2.5129756944444455,4.469937282229964,4,288,1,528.1333333333334,63.32407407407407
2024-01-16,M005,64.21385416666668,116.14,2.4743958333333342,4.526686619718312,1,288,1,349.3,75.74305555555556
2024-01-27,M005,64.79170731707319,108.95,2.4297073170731704,4.495339160839157,2,288,1,482.31666666666666,66.50578703703704
2024-01-30,M005,64.25972027972024,124.63,2.388815972222222,4.468540069686411,6,288,0,192.81666666666666,86.60995370370371
2024-01-01,M001,65.90468749999997,129.34,2.517815331010454,4.500138790035587,7,288,4,458.15,68.18402777777777
2024-01-06,M001,64.5050174216028,128.29,2.453088028169013,4.511737762237762,10,288,2,174.38333333333333,87.8900462962963
2024-01-07,M001,64.66218749999999,119.24,2.328835664335664,4.5380487804878085,7,288,1,261.76666666666665,81.82175925925927
2024-01-11,M001,62.83119298245615,121.51,2.4429750889679727,4.492056140350879,6,288,4,750.9166666666667,47.85300925925925
2024-01-15,M001,64.2904181184669,107.37,2.5664683098591543,4.504933566433566,2,288,1,164.08333333333334,88.60532407407408
2024-01-20,M001,64.84337979094074,128.09,2.482719298245614,4.531279720279719,5,288,1,212.13333333333333,85.26851851851853
2024-01-23,M001,62.923754385964955,112.41,2.472627177700351,4.450996503496506,3,288,0,138.31666666666666,90.39467592592592
2024-01-25,M001,64.67083916083912,127.27,2.581257839721253,4.487321678321683,6,288,1,83.41666666666667,94.20717592592592
2024-01-27,M001,65.1208391608392,120.68,2.5302125435540095,4.536860139860142,3,288,1,155.68333333333334,89.1886574074074
2024-01-28,M001,64.59951219512195,128.72,2.513999999999999,4.506145833333332,5,288,1,36.983333333333334,97.43171296296296
2024-01-29,M001,65.47486013986017,126.97,2.5184491228070196,4.526286713286712,5,288,2,137.98333333333332,90.41782407407408
2024-01-30,M001,65.02017421602787,126.68,2.5456254416961133,4.538650176678443,8,288,2,245.18333333333334,82.97337962962963
2024-01-02,M002,64.06510416666664,92.32,2.4975000000000014,4.528905923344945,7,288,3,341.25,76.30208333333334
2024-01-08,M002,61.9238675958188,118.42,2.3634300699300703,4.509508710801395,3,288,1,50.483333333333334,96.49421296296296
2024-01-09,M002,64.68839721254358,106.96,2.414371527777776,4.4806035087719325,3,288,1,623.4666666666666,56.70370370370371
2024-01-13,M002,63.77202797202802,129.32,2.419435540069688,4.529670175438599,7,288,0,166.38333333333333,88.44560185185186
2024-01-14,M002,65.95824561403505,127.43,2.5136000000000007,4.453171328671332,2,288,1,82.0,94.30555555555556
2024-01-15,M002,66.18260416666662,102.04,2.503163194444443,4.540102112676055,2,288,1,100.85000000000001,92.99652777777779
2024-01-20,M002,65.53861111111111,126.17,2.4876421052631557,4.511283216783217,3,288,1,1211.65,15.857638888888884
2024-01-23,M002,64.60007017543863,126.17,2.454158450704225,4.545707317073172,4,288,2,463.5666666666666,67.80787037037037
2024-01-27,M002,65.20385964912278,127.21,2.500506993006992,4.50954355400697,6,288,0,0.0,100.0
2024-01-03,M003,66.17895833333336,122.63,2.5939337979094077,4.5095993031358885,7,288,1,533.9166666666666,62.92245370370371
2024-01-04,M003,64.7980487804878,127.57,2.570972027972027,4.544576923076922,2,288,1,62.03333333333333,95.69212962962963
2024-01-07,M003,65.23672473867597,116.07,2.4592229965156815,4.480454225352114,7,288,0,416.20000000000005,71.09722222222223
2024-01-12,M003,64.07749116607775,125.91,2.4788286713286714,4.504778947368422,6,288,1,73.8,94.875
2024-01-22,M003,64.59899305555558,118.08,2.4970880281690158,4.499296167247383,1,288,2,471.43333333333334,67.26157407407408
2024-01-24,M003,65.46648083623695,116.4,2.496411149825785,4.535628070175438,1,288,1,93.98333333333333,93.47337962962963
2024-01-03,M004,65.8840766550523,122.41,2.5154070175438594,4.465731707317077,3,288,2,294.43333333333334,79.55324074074073
2024-01-10,M004,65.22845614035089,128.02,2.455738675958186,4.491062717770037,6,288,2,1087.0166666666667,24.51273148148148
2024-01-11,M004,64.88829268292683,102.23,2.4826097560975584,4.44752613240418,5,288,1,545.55,62.11458333333334
2024-01-13,M004,64.10874564459925,110.38,2.5095000000000005,4.513395104895104,2,288,0,0.0,100.0
2024-01-16,M004,65.30059649122809,100.5,2.401087108013936,4.457369718309857,3,288,2,515.6,64.19444444444444
2024-01-17,M004,64.44337979094074,126.74,2.373500000000001,4.504300699300697,6,288,2,567.5666666666667,60.58564814814814
2024-01-19,M004,64.60815972222221,100.19,2.5020909090909065,4.5301684210526325,1,288,1,627.2833333333333,56.43865740740741
2024-01-22,M004,64.49701754385968,117.87,2.4720944055944076,4.508440559440561,2,288,1,143.26666666666668,90.05092592592592
2024-01-29,M004,66.04146853146848,112.71,2.4890524475524485,4.5345435540069685,2,288,0,622.6333333333333,56.761574074074076
2024-01-05,M005,65.15611888111887,123.62,2.4693859649122802,4.483700704225352,5,288,0,94.58333333333333,93.43171296296296
2024-01-11,M005,64.7922807017544,113.74,2.4643881118881112,4.496607638888891,4,288,1,545.65,62.10763888888889
2024-01-15,M005,64.78431578947372,114.32,2.4062404181184682,4.49450347222222,8,288,1,148.81666666666666,89.66550925925927
2024-01-18,M005,63.84354385964916,121.93,2.478407665505225,4.496292253521127,5,288,1,426.5333333333333,70.37962962962963
2024-01-21,M005,63.89933797909409,119.52,2.424105633802817,4.511672473867592,3,288,1,623.25,56.71874999999999
2024-01-24,M005,64.09671378091872,124.55,2.5622291666666657,4.5365714285714285,3,288,3,425.4666666666667,70.4537037037037
2024-01-25,M005,65.61605633802817,115.97,2.4582666666666673,4.475125874125873,3,288,2,560.7666666666667,61.057870370370374
2024-01-28,M005,63.45311188811189,119.74,2.5215804195804195,4.490121951219514,6,288,1,258.40000000000003,82.05555555555554
2024-01-31,M005,64.5224825174825,119.16,2.507877192982456,4.4833076923076876,3,288,0,197.71666666666667,86.26967592592592
2024-01-05,M001,64.90013937282231,90.8,2.4892762237762227,4.514212543554002,2,288,4,138.33333333333331,90.39351851851852
2024-01-09,M001,64.88228873239439,127.38,2.4332578397212554,4.467184668989548,8,288,1,394.1000000000001,72.63194444444443
2024-01-13,M001,64.95486013986014,113.52,2.404363636363636,4.505526501766784,7,288,1,286.21666666666664,80.12384259259258
2024-01-16,M001,65.30209219858156,122.69,2.5098958333333306,4.411651408450707,4,288,1,445.3666666666667,69.07175925925925
2024-01-19,M001,63.64442508710804,111.38,2.487793706293705,4.4833169014084495,7,288,1,321.01666666666665,77.70717592592592
2024-01-31,M001,65.40624561403509,129.75,2.472538461538461,4.518549295774648,5,288,2,719.8499999999999,50.01041666666667
2024-01-06,M002,65.0737543859649,125.09,2.48102456140351,4.420912891986065,3,288,2,594.7833333333333,58.695601851851855
2024-01-07,M002,64.71257839721255,123.52,2.5055971731448756,4.4578070175438596,4,288,1,170.58333333333334,88.15393518518519
2024-01-11,M002,65.97888111888115,124.54,2.4780947368421065,4.474947735191635,6,288,3,537.1,62.701388888888886
2024-01-16,M002,64.68290209790206,127.04,2.520785211267604,4.490311188811189,8,288,1,431.8,70.01388888888889
2024-01-17,M002,65.52288732394365,128.33,2.5197446808510615,4.510281250000001,6,288,2,141.71666666666667,90.15856481481481
2024-01-19,M002,64.30807692307697,117.09,2.5255937500000005,4.474799295774648,3,288,3,233.51666666666665,83.78356481481481
2024-01-30,M002,64.77799295774648,129.36,2.483356643356643,4.525792253521126,4,288,0,498.45000000000005,65.38541666666666
2024-01-01,M003,63.61238596491231,116.92,2.427436619718309,4.516912891986062,5,288,3,578.7833333333334,59.80671296296296
2024-01-11,M003,64.39774647887326,128.22,2.567024561403507,4.513108391608397,4,288,0,0.0,100.0
2024-01-14,M003,64.06461538461534,122.63,2.3986993006993003,4.510722807017541,4,288,0,252.98333333333335,82.43171296296296
2024-01-20,M003,64.72456445993026,128.19,2.448319444444444,4.49466549295774,7,288,1,198.33333333333334,86.22685185185186
2024-01-26,M003,65.3646503496504,110.05,2.5092666666666648,4.455780487804878,5,288,0,154.61666666666667,89.26273148148147
2024-01-28,M003,64.34444055944056,92.3,2.347000000000001,4.510652777777777,5,288,1,428.8833333333333,70.21643518518519
2024-01-02,M004,63.82420138888887,124.26,2.406384615384616,4.563129370629371,8,288,4,373.0833333333333,74.09143518518519
