semaine,machine_id,nb_mesures_semaine,sum_arret_minutes,sum_produite,sum_prevue,sum_rebuts,disponibilite,temps_disponible_heures,performance,qualite_oee,oee_pct
1,M001,2016,2643.9166666666665,2697,2885,57.80409999999999,73.77,123.93472222222223,4.35,97.86,3.14
3,M001,2016,2731.4833333333336,3457,3779,95.13340000000001,72.9,122.47527777777778,5.65,97.25,4.0
4,M001,2016,1000.7833333333334,4174,4462,120.89359999999999,90.07,151.3202777777778,5.52,97.1,4.83
1,M002,2016,2751.683333333333,2688,2840,76.4069,72.7,122.13861111111113,4.4,97.16,3.11
3,M002,2016,2318.5333333333333,4604,5110,123.15769999999999,77.0,129.35777777777778,7.12,97.32,5.33
1,M003,2016,2526.416666666667,3889,4306,119.5225,74.94,125.89305555555555,6.18,96.93,4.49
2,M004,2016,2864.833333333333,6753,7208,135.01950000000002,71.58,120.25277777777778,11.23,98.0,7.88
1,M005,2016,2204.0,5906,6171,175.259,78.13,131.26666666666668,9.0,97.03,6.82
4,M002,2016,1734.516666666667,5566,5881,129.4867,82.79,139.0913888888889,8.0,97.67,6.47
2,M003,2016,1307.4,2583,2797,85.81559999999999,87.03,146.21,3.53,96.68,2.97
3,M003,2016,2195.316666666666,2373,2656,44.12689999999999,78.22,131.4113888888889,3.61,98.14,2.77
4,M003,2016,1701.1833333333334,2737,2920,62.581900000000005,83.12,139.64694444444442,3.92,97.71,3.18
5,M004,864,1381.25,1832,1993,35.811899999999994,86.3,144.97916666666666,2.53,98.05,2.14
4,M005,2016,2827.8333333333335,4998,5404,82.4675,71.95,120.86944444444444,8.27,98.35,5.85
5,M005,864,1238.8833333333337,2493,2763,69.9633,87.71,147.35194444444446,3.38,97.19,2.88
2,M002,2016,1861.266666666667,4755,5283,111.41020000000002,81.54,136.9788888888889,6.94,97.66,5.53
5,M002,864,751.85,1697,1786,31.3503,92.54,155.46916666666667,2.18,98.15,1.98
5,M003,864,838.25,3895,4234,85.1405,91.68,154.02916666666667,5.06,97.81,4.54
1,M004,2016,2012.3333333333333,5055,5461,122.61309999999997,80.04,134.4611111111111,7.52,97.57,5.87
3,M004,2016,2760.95,5800,6358,134.1428,72.61,121.98416666666667,9.51,97.69,6.75
4,M004,2016,2688.0,1879,2070,45.2662,73.33,123.2,3.05,97.59,2.18
3,M005,2016,2790.7166666666667,5842,6242,153.3682,72.31,121.48805555555555,9.62,97.37,6.77
2,M001,2016,2806.0333333333333,6522,7050,174.0187,72.16,121.23277777777778,10.76,97.33,7.56
5,M001,864,1103.0166666666669,2280,2407,40.0771,89.06,149.6163888888889,3.05,98.24,2.67
2,M005,2016,3516.3833333333328,6006,6569,165.01890000000003,65.12,109.39361111111111,10.98,97.25,6.95
