intervention_id,date_intervention,machine_id,type_intervention,duree_heures,technicien_id,cout_eur,description_panne,pieces_changees
INT_00001,2024-01-11T18:56:36,M001,CORRECTIVE,6.57,TECH_05,1741.2,Honte mine source fer terminer.,école / promener
INT_00002,2024-01-24T11:08:34,M003,PREVENTIVE,2.26,TECH_05,449.54,Montrer retomber cour nuit établir annoncer fils serrer couler.,
INT_00003,2024-01-12T20:59:45,M005,PREVENTIVE,3.1,TECH_04,483.19,Oublier autorité chat ne yeux fête.,
INT_00004,2024-01-19T02:16:15,M004,CORRECTIVE,3.96,TECH_01,1880.85,Joue faux lendemain retourner raconter dès.,grandir / vie
INT_00005,2024-01-11T21:02:59,M004,CORRECTIVE,6.36,TECH_01,2302.66,Expliquer nuit pénétrer pendre.,tendre / disposer
INT_00006,2024-01-12T06:26:03,M004,CORRECTIVE,1.63,TECH_04,1824.66,Parcourir port fille eh changement ensemble mémoire même.,naturellement / désert
INT_00007,2024-01-06T06:56:02,M005,CORRECTIVE,0.72,TECH_03,2304.72,Plutôt trésor subir recevoir.,rose / troisième
INT_00008,2024-01-31T13:54:10,M002,CORRECTIVE,4.85,TECH_01,2398.92,Maison beaux supporter imposer dresser.,prononcer / marier
INT_00009,2024-01-09T05:11:49,M005,PREVENTIVE,1.88,TECH_04,432.32,Tenter courir fou derrière vieil longtemps.,
INT_00010,2024-01-13T03:14:06,M005,PREVENTIVE,1.76,TECH_04,609.29,Pendant vision peur du répandre dominer réveiller juge rendre.,
INT_00011,2024-01-23T23:41:04,M005,CORRECTIVE,7.2,TECH_05,2497.54,Silence prévenir le lendemain général soi renverser davantage très.,douleur / dernier
INT_00012,2024-01-03T20:39:42,M002,CORRECTIVE,3.51,TECH_03,2167.99,As émotion lorsque effet dépasser rejoindre vite montrer juge.,saint / briller
INT_00013,2024-01-16T02:52:16,M004,CORRECTIVE,9.46,TECH_02,2136.24,Comprendre mieux militaire veiller aujourd'hui maître qui.,mal / printemps
INT_00014,2024-01-16T14:30:29,M001,CORRECTIVE,7.34,TECH_05,2384.5,Nuage preuve pour déclarer ce vérité.,foi / peau
