ordre_id,produit_id,machine_id,date_debut,date_fin_prevue,date_fin_reelle,quantite_prevue,quantite_produite,taux_rebut_pct
ORD_00001,PROD_C,M005,2024-01-30T12:15:35,2024-01-31T11:04:39.668033,2024-01-31T16:46:37.561183,687,604,2.37
ORD_00002,PROD_D,M004,2024-01-16T10:14:39,2024-01-17T06:08:19.842372,2024-01-17T05:41:18.617445,605,587,2.99
ORD_00003,PROD_A,M004,2024-01-14T07:43:01,2024-01-14T18:59:02.989890,2024-01-14T18:39:19.092915,434,408,0.0
ORD_00004,PROD_D,M005,2024-01-12T11:27:05,2024-01-13T02:07:56.974375,2024-01-13T02:16:34.174166,976,873,4.36
ORD_00005,PROD_A,M005,2024-01-23T10:00:11,2024-01-23T18:15:32.772855,2024-01-23T22:04:43.604761,646,607,1.68
ORD_00006,PROD_A,M005,2024-01-17T09:05:15,2024-01-18T01:16:21.232780,2024-01-18T00:52:03.664124,921,820,3.19
ORD_00007,PROD_C,M004,2024-01-14T08:01:04,2024-01-14T16:59:45.421216,2024-01-14T16:34:32.583168,893,794,3.68
ORD_00008,PROD_D,M003,2024-01-30T17:24:18,2024-01-30T20:26:26.163474,2024-01-30T20:55:28.444092,605,535,2.48
ORD_00009,PROD_C,M001,2024-01-30T23:59:43,2024-01-31T04:15:20.293988,2024-01-31T04:34:51.937496,242,239,3.35
ORD_00010,PROD_C,M001,2024-01-22T03:36:24,2024-01-22T10:35:10.227497,2024-01-22T10:48:37.015984,931,906,2.78
ORD_00011,PROD_E,M003,2024-01-01T05:45:25,2024-01-02T04:18:26.540198,2024-01-02T07:07:30.670013,903,821,3.29
ORD_00012,PROD_A,M001,2024-01-03T07:55:40,2024-01-04T06:45:53.872976,2024-01-04T06:35:39.457283,727,727,2.38
ORD_00013,PROD_C,M004,2024-01-09T06:27:31,2024-01-10T04:48:19.785851,2024-01-10T04:25:31.430962,426,382,2.43
ORD_00014,PROD_E,M002,2024-01-21T01:31:20,2024-01-21T17:32:02.768837,2024-01-21T17:33:21.118161,346,301,1.44
ORD_00015,PROD_D,M005,2024-01-24T19:00:44,2024-01-25T18:29:30.876657,2024-01-25T18:43:21.989147,331,297,2.81
ORD_00016,PROD_C,M001,2024-01-15T09:08:16,2024-01-16T02:47:17.405011,2024-01-16T03:07:25.356559,348,306,1.8
ORD_00017,PROD_A,M002,2024-01-04T15:32:58,2024-01-05T14:55:41.804549,2024-01-05T14:26:29.065734,321,293,3.39
ORD_00018,PROD_D,M004,2024-01-10T02:56:22,2024-01-10T15:40:03.529516,2024-01-10T15:58:53.913020,879,871,1.59
ORD_00019,PROD_E,M005,2024-01-16T05:05:23,2024-01-16T23:49:13.646303,2024-01-16T23:46:28.125378,257,255,2.02
ORD_00020,PROD_A,M005,2024-01-07T07:31:53,2024-01-07T14:20:40.758603,2024-01-07T14:49:10.991463,988,988,3.53
ORD_00021,PROD_E,M005,2024-01-10T20:32:10,2024-01-11T15:41:47.667914,2024-01-11T15:28:27.886278,268,242,1.68
ORD_00022,PROD_E,M003,2024-01-05T22:54:48,2024-01-06T04:09:13.346936,2024-01-06T10:22:08.001965,346,304,1.54
ORD_00023,PROD_D,M001,2024-01-10T01:54:19,2024-01-10T09:46:26.128177,2024-01-10T09:48:17.315650,460,460,2.37
ORD_00024,PROD_A,M003,2024-01-27T17:09:03,2024-01-27T21:00:01.087880,2024-01-27T20:39:03.320046,614,522,1.02
ORD_00025,PROD_E,M004,2024-01-17T04:50:04,2024-01-17T08:00:14.040109,2024-01-17T07:36:06.165821,764,709,2.01
ORD_00026,PROD_D,M004,2024-01-10T09:56:48,2024-01-10T18:24:53.266851,2024-01-10T18:30:31.843846,642,633,2.15
ORD_00027,PROD_D,M005,2024-01-26T04:14:03,2024-01-26T15:46:21.375067,2024-01-26T15:55:08.216553,213,193,2.47
ORD_00028,PROD_A,M002,2024-01-03T13:54:35,2024-01-04T11:36:03.630095,2024-01-04T11:20:23.191773,644,615,2.77
ORD_00029,PROD_C,M001,2024-01-11T23:51:03,2024-01-12T21:16:04.942947,2024-01-12T21:10:21.356784,502,482,4.09
ORD_00030,PROD_B,M001,2024-01-14T00:33:13,2024-01-14T13:26:50.595490,2024-01-14T13:09:03.467217,752,670,2.37
ORD_00031,PROD_E,M003,2024-01-14T23:31:09,2024-01-15T17:39:52.475846,2024-01-15T17:40:04.140395,817,766,3.51
ORD_00032,PROD_D,M005,2024-01-15T19:43:42,2024-01-16T16:29:05.063992,2024-01-16T16:09:17.901258,797,776,3.74
ORD_00033,PROD_B,M001,2024-01-10T02:16:19,2024-01-10T11:34:45.701053,2024-01-10T12:02:29.775954,782,680,2.76
ORD_00034,PROD_D,M004,2024-01-17T05:12:04,2024-01-17T07:39:33.486337,,178,142,2.53
ORD_00035,PROD_A,M002,2024-01-29T20:03:58,2024-01-30T05:48:47.776689,2024-01-30T05:18:51.399991,994,969,0.89
ORD_00036,PROD_D,M002,2024-01-06T07:26:38,2024-01-06T10:26:15.980352,2024-01-06T10:37:04.146889,397,376,2.19
ORD_00037,PROD_E,M002,2024-01-25T10:12:29,2024-01-25T15:53:19.535212,2024-01-25T15:28:57.611568,411,387,2.56
ORD_00038,PROD_D,M003,2024-01-24T19:39:44,2024-01-25T13:49:41.348325,,363,336,2.1
ORD_00039,PROD_C,M004,2024-01-18T16:25:40,2024-01-19T04:31:13.060362,2024-01-19T07:37:41.637989,441,412,3.08
ORD_00040,PROD_E,M005,2024-01-24T12:18:51,2024-01-24T16:47:41.676536,2024-01-24T17:01:23.252490,121,110,1.04
ORD_00041,PROD_D,M002,2024-01-11T16:36:58,2024-01-12T09:07:19.859517,2024-01-12T09:07:12.055550,350,330,4.39
ORD_00042,PROD_D,M005,2024-01-18T10:45:16,2024-01-18T17:17:35.555667,2024-01-18T17:42:49.885788,486,440,2.0
ORD_00043,PROD_C,M001,2024-01-31T10:22:54,2024-02-01T03:18:55.080837,2024-02-01T07:27:36.668376,997,953,1.62
ORD_00044,PROD_B,M005,2024-01-13T21:06:27,2024-01-14T19:08:04.924955,2024-01-14T18:57:57.229368,703,640,2.11
ORD_00045,PROD_C,M004,2024-01-16T00:23:15,2024-01-16T06:34:48.355024,2024-01-16T06:46:54.963310,954,876,2.05
ORD_00046,PROD_A,M005,2024-01-22T01:01:01,2024-01-22T20:30:51.366042,2024-01-22T20:48:24.458078,455,422,3.01
ORD_00047,PROD_A,M003,2024-01-01T09:42:39,2024-01-01T22:41:14.019904,2024-01-01T22:39:12.762805,253,238,3.23
ORD_00048,PROD_C,M005,2024-01-31T06:46:26,2024-01-31T21:03:10.755245,2024-01-31T21:02:23.324517,166,161,3.69
ORD_00049,PROD_A,M003,2024-01-23T00:46:59,2024-01-23T03:41:02.485037,2024-01-23T03:46:37.542862,154,140,1.25
ORD_00050,PROD_C,M004,2024-01-01T05:55:50,2024-01-01T17:23:51.568020,2024-01-01T16:53:53.878181,357,324,1.95
ORD_00051,PROD_C,M002,2024-01-14T18:01:41,2024-01-15T13:18:13.853272,2024-01-15T13:45:44.540725,674,585,3.5
ORD_00052,PROD_A,M002,2024-01-14T03:21:07,2024-01-14T08:29:24.425101,2024-01-14T12:30:52.104853,182,170,1.49
ORD_00053,PROD_B,M003,2024-01-02T13:26:31,2024-01-03T01:51:06.679209,2024-01-03T02:09:48.831928,752,752,3.63
