timestamp,machine_id,temperature_c,vibration_mms,pression_bar,courant_a,statut_capteur
2024-01-01T00:00:00,M001,69.97,1.697,3.489,12.99,OK
01/01/2024 00:05,M001,63.62,2.601,4.772,10.3,OK
2024-01-01T00:10:00,M001,71.48,2.207,4.929,11.24,OK
01/01/2024 00:15,M001,80.23,2.641,4.771,13.5,OK
2024-01-01T00:20:00,M001,62.66,2.518,4.171,11.01,OK
01/01/2024 00:25,M001,62.66,1.711,4.378,13.95,OK
2024-01-01T00:30:00,M001,80.79,3.002,4.126,14.61,OK
01/01/2024 00:35,M001,72.67,2.461,4.29,14.29,OK
2024-01-01T00:40:00,M001,60.31,1.709,3.895,15.96,OK
01/01/2024 00:45,M001,70.43,4.293,4.443,11.82,OK
2024-01-01T00:50:00,M001,60.37,,3.749,12.35,OK
01/01/2024 00:55,M001,60.34,2.377,4.4,12.64,OK
2024-01-01T01:00:00,M001,67.42,3.632,3.876,11.88,OK
01/01/2024 01:05,M001,45.87,3.973,4.603,13.08,OK
2024-01-01T01:10:00,M001,47.75,2.384,4.16,8.58,OK
01/01/2024 01:15,M001,59.38,2.778,4.645,12.41,OK
2024-01-01T01:20:00,M001,54.87,1.71,5.041,9.25,OK
01/01/2024 01:25,M001,68.14,2.382,5.295,10.07,OK
2024-01-01T01:30:00,M001,55.92,2.341,3.236,13.47,OK
01/01/2024 01:35,M001,50.88,2.648,4.083,11.6,OK
2024-01-01T01:40:00,M001,79.66,2.766,4.348,13.4,OK
01/01/2024 01:45,M001,62.74,2.948,4.73,11.56,OK
2024-01-01T01:50:00,M001,65.68,2.69,3.675,14.21,OK
01/01/2024 01:55,M001,50.75,1.531,4.009,11.52,OK
2024-01-01T02:00:00,M001,113.36,1.749,4.565,8.09,OK
01/01/2024 02:05,M001,66.11,2.063,4.542,12.45,OK
2024-01-01T02:10:00,M001,53.49,2.274,4.689,7.66,OK
01/01/2024 02:15,M001,68.76,3.341,4.722,9.09,OK
2024-01-01T02:20:00,M001,58.99,1.57,4.669,10.23,OK
01/01/2024 02:25,M001,62.08,2.214,4.597,9.98,OK
2024-01-01T02:30:00,M001,58.98,3.262,4.528,10.91,OK
01/01/2024 02:35,M001,83.52,2.26,4.832,9.92,OK
2024-01-01T02:40:00,M001,64.87,2.868,3.38,9.19,OK
01/01/2024 02:45,M001,54.42,2.388,5.272,15.08,OK
2024-01-01T02:50:00,M001,73.23,2.705,3.398,10.64,OK
01/01/2024 02:55,M001,52.79,2.317,3.96,7.54,OK
2024-01-01T03:00:00,M001,67.09,3.034,4.387,11.28,OK
01/01/2024 03:05,M001,45.4,1.264,4.836,9.75,OK
2024-01-01T03:10:00,M001,51.72,2.209,3.002,10.23,OK
01/01/2024 03:15,M001,66.97,2.737,4.486,13.42,OK
2024-01-01T03:20:00,M001,72.38,2.927,4.896,11.1,OK
01/01/2024 03:25,M001,66.71,3.694,4.997,9.69,OK
2024-01-01T03:30:00,M001,63.84,2.187,4.151,12.89,OK
01/01/2024 03:35,M001,61.99,3.684,4.35,14.3,OK
2024-01-01T03:40:00,M001,50.21,1.973,,13.07,OK
01/01/2024 03:45,M001,57.8,3.563,4.304,7.09,OK
2024-01-01T03:50:00,M001,60.39,3.154,3.984,9.77,OK
01/01/2024 03:55,M001,75.57,1.769,4.055,12.09,OK
2024-01-01T04:00:00,M001,68.44,2.746,4.717,11.51,OK
01/01/2024 04:05,M001,47.37,2.459,4.566,11.35,OK
2024-01-01T04:10:00,M001,68.24,3.0,4.746,10.03,OK
01/01/2024 04:15,M001,61.15,2.321,4.607,9.19,OK
2024-01-01T04:20:00,M001,58.23,2.254,4.852,16.02,OK
01/01/2024 04:25,M001,71.12,3.595,4.939,12.05,OK
2024-01-01T04:30:00,M001,75.31,2.421,3.629,13.28,OK
01/01/2024 04:35,M001,74.31,3.161,4.073,12.01,OK
2024-01-01T04:40:00,M001,56.61,2.32,4.384,12.09,OK
01/01/2024 04:45,M001,61.91,3.833,4.489,11.88,OK
2024-01-01T04:50:00,M001,68.31,1.957,4.165,9.76,OK
01/01/2024 04:55,M001,74.76,2.009,4.956,8.97,OK
2024-01-01T05:00:00,M001,60.21,3.72,5.49,12.77,OK
01/01/2024 05:05,M001,63.14,2.144,4.593,12.38,OK
2024-01-01T05:10:00,M001,53.94,3.781,4.542,13.88,OK
01/01/2024 05:15,M001,53.04,3.213,4.925,13.47,OK
2024-01-01T05:20:00,M001,73.13,2.376,3.567,10.38,OK
01/01/2024 05:25,M001,78.56,1.049,4.514,14.27,OK
2024-01-01T05:30:00,M001,64.28,2.485,4.99,13.53,OK
01/01/2024 05:35,M001,75.04,2.581,4.178,13.38,OK
2024-01-01T05:40:00,M001,68.62,3.434,3.887,16.5,OK
01/01/2024 05:45,M001,58.55,3.771,4.407,16.09,OK
2024-01-01T05:50:00,M001,68.61,1.952,4.47,13.38,OK
01/01/2024 05:55,M001,80.38,3.141,4.046,13.13,OK
2024-01-01T06:00:00,M001,64.64,3.112,5.548,14.16,OK
01/01/2024 06:05,M001,80.65,3.359,4.261,10.83,OK
2024-01-01T06:10:00,M001,38.8,2.899,3.923,10.86,OK
01/01/2024 06:15,M001,73.22,0.946,4.453,13.35,OK
2024-01-01T06:20:00,M001,65.87,2.376,4.954,10.29,OK
01/01/2024 06:25,M001,62.01,1.575,4.509,13.19,OK
2024-01-01T06:30:00,M001,65.92,2.338,4.743,12.31,OK
01/01/2024 06:35,M001,45.12,3.284,4.064,10.29,OK
2024-01-01T06:40:00,M001,62.8,2.744,5.244,12.05,OK
01/01/2024 06:45,M001,68.57,3.418,4.781,14.61,OK
2024-01-01T06:50:00,M001,79.78,2.773,5.024,12.16,OK
01/01/2024 06:55,M001,59.82,1.461,4.683,12.17,OK
2024-01-01T07:00:00,M001,56.92,0.483,4.912,12.66,OK
01/01/2024 07:05,M001,59.98,2.619,4.063,12.92,OK
2024-01-01T07:10:00,M001,74.15,2.329,4.254,11.34,OK
01/01/2024 07:15,M001,68.29,1.718,5.173,12.7,OK
2024-01-01T07:20:00,M001,59.7,1.139,5.28,9.9,OK
01/01/2024 07:25,M001,70.13,1.912,3.926,10.4,OK
2024-01-01T07:30:00,M001,65.97,2.344,4.625,10.66,OK
01/01/2024 07:35,M001,74.69,3.033,4.285,12.94,OK
2024-01-01T07:40:00,M001,57.98,2.651,4.151,12.32,OK
01/01/2024 07:45,M001,61.72,3.786,4.642,11.73,OK
2024-01-01T07:50:00,M001,61.08,1.672,5.07,13.38,OK
01/01/2024 07:55,M001,50.36,3.205,4.726,12.76,OK
2024-01-01T08:00:00,M001,67.96,2.538,4.34,11.42,OK
01/01/2024 08:05,M001,67.61,3.056,4.757,9.93,OK
2024-01-01T08:10:00,M001,65.05,2.151,4.32,10.36,OK
01/01/2024 08:15,M001,129.34,3.357,4.706,9.07,OK
2024-01-01T08:20:00,M001,50.85,2.736,5.198,12.28,OK
01/01/2024 08:25,M001,60.79,1.956,3.461,10.28,OK
2024-01-01T08:30:00,M001,61.57,2.49,4.899,11.01,OK
01/01/2024 08:35,M001,56.98,2.308,3.73,11.74,OK
